all value,temp_1,temp_2,temp_3,temp_4,Average value,actual
"[89.1688999196842, 87.3967430850819, 85.2837868592098, 83.8524294158772, 83.3753102680996, 83.4434701463535, 82.966350998576, 81.875792946513, 82.4892318507984, 82.8981911203221]",89.1688999196842,87.3967430850819,85.2837868592098,83.8524294158772,84.27502066105157,82.7618713638142
"[82.4210719725445, 82.0802725812748, 81.875792946513, 82.3529120942906, 82.8981911203221, 83.2389905115917, 83.8524294158772, 84.056909050639, 83.7842695376232, 83.5116300246075]",82.4210719725445,82.0802725812748,81.875792946513,82.3529120942906,83.00724692552836,83.5797899028614
"[83.8524294158772, 83.8524294158772, 83.7161096593693, 83.6479497811154, 83.988749172385, 84.4658683201626, 85.079307224448, 85.5564263722256, 86.3061850330189, 86.8514640590504]",83.8524294158772,83.8524294158772,83.7161096593693,83.6479497811154,84.73169184535296,86.8514640590504
"[86.8514640590504, 87.1922634503201, 87.8738622328594, 88.4191412588909, 88.8281005284146, 88.9644202849224, 88.9644202849224, 88.7599406501606, 88.6236208936527, 88.5554610153988]",86.8514640590504,87.1922634503201,87.8738622328594,88.4191412588909,88.30326946585924,88.8281005284146
"[89.5096993109539, 89.5096993109539, 89.373379554446, 89.4415394327, 90.0549783369854, 90.8728968760327, 91.6908154150799, 91.7589752933338, 91.622655536826, 91.622655536826]",89.5096993109539,89.5096993109539,89.373379554446,89.4415394327,90.54572946041375,92.0316148063496
"[92.5087339541271, 92.645053710635, 92.5087339541271, 92.3724141976193, 92.4405740758732, 93.2584926149204, 94.1445710322216, 94.8943296930149, 94.9624895712689, 95.2351290842846]",92.5087339541271,92.645053710635,92.5087339541271,92.3724141976193,93.49705218880919,95.7804081103161
"[95.9848877450779, 96.0530476233318, 96.1893673798397, 97.007285918887, 97.8252044579342, 98.3023236057118, 98.6431229969814, 99.6655211707905, 101.165038492377, 102.937195326979]",95.9848877450779,96.0530476233318,96.1893673798397,97.007285918887,98.37729947179103,105.459110822375
"[107.367587413485, 107.503907169993, 108.049186196025, 108.526305343802, 108.935264613326, 109.753183152373, 110.298462178405, 110.434781934913, 111.184540595706, 112.206938769515]",107.367587413485,107.503907169993,108.049186196025,108.526305343802,109.42601573675431,113.16117706507
"[113.297496821578, 113.365656699832, 113.570136334594, 113.50197645634, 113.433816578086, 113.229336943324, 113.229336943324, 113.433816578086, 114.047255482371, 114.728854264911]",113.297496821578,113.365656699832,113.570136334594,113.50197645634,113.58376831024461,115.001493777926
"[114.933333899672, 115.137813534434, 115.137813534434, 115.001493777926, 114.797014143164, 114.728854264911, 114.524374630149, 114.388054873641, 113.979095604117, 113.570136334594]",114.933333899672,115.137813534434,115.137813534434,115.001493777926,114.6197984597042,114.251735117133
"[114.933333899672, 115.342293169196, 115.683092560466, 116.637330856021, 117.864208664592, 118.205008055861, 118.136848177607, 118.205008055861, 118.818446960147, 119.431885864432]",114.933333899672,115.342293169196,115.683092560466,116.637330856021,117.3257456263855,119.772685255702
"[119.704525377448, 119.500045742686, 119.295566107924, 119.22740622967, 119.977164890464, 120.522443916495, 120.454284038241, 120.249804403479, 120.045324768718, 119.840845133956]",119.704525377448,119.500045742686,119.295566107924,119.22740622967,119.8817410609081,119.636365499194
"[119.840845133956, 120.317964281733, 120.386124159987, 120.658763673003, 121.544842090304, 121.613001968558, 121.47668221205, 121.272202577288, 121.47668221205, 121.408522333796]",119.840845133956,120.317964281733,120.386124159987,120.658763673003,120.99956306427251,121.47668221205
"[122.362760629351, 122.567240264113, 122.294600751098, 122.635400142367, 122.567240264113, 122.090121116336, 121.749321725066, 122.021961238082, 122.430920507605, 122.294600751098]",122.362760629351,122.567240264113,122.294600751098,122.635400142367,122.3014167389229,122.090121116336
"[121.81748160332, 121.544842090304, 122.226440872844, 123.044359411891, 122.908039655383, 123.248839046653, 123.862277950938, 124.134917463954, 123.930437829192, 123.72595819443]",121.81748160332,121.544842090304,122.226440872844,123.044359411891,123.0443594118909,123.453318681414
"[123.521478559668, 123.930437829192, 124.612036611731, 126.111553933318, 127.88371076792, 129.451387967761, 130.47378614157, 130.882745411094, 130.746425654586, 130.746425654586]",123.521478559668,123.930437829192,124.612036611731,126.111553933318,127.83599885314261,130.882745411094
